type,element_id,text,metadata,filename
Title,1b50c69fd4e278e6fc164601259be612,ArtPrompt: ASCII Art-based Jailbreak Attacks against Aligned LLMs,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
UncategorizedText,67f7ac4b605588d096605bc20444c036,♣,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '1b50c69fd4e278e6fc164601259be612', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
NarrativeText,8708f4b3c992f794afaa78f1f5b32b20,WARNING: This paper contains model outputs that may be considered offensive.,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '1b50c69fd4e278e6fc164601259be612', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
UncategorizedText,496318f237bf666e7ec3983212f2242b,♣‡,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '1b50c69fd4e278e6fc164601259be612', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
UncategorizedText,26a0d8d012658e7875902d52456c80f4,♣‡,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '1b50c69fd4e278e6fc164601259be612', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
UncategorizedText,c8a70b3788b1af9e866f6a913283799f,♣‡,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '1b50c69fd4e278e6fc164601259be612', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,0c158e2626fea53857226560e7483980,Fengqing Jiang,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,402eefadea8a72359b08db225217042f,Luyao Niu,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,dc9fcff3df24dbbec38d74bb85dbec89,Zhen Xiang,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
Title,26be920fa497a4638fc157b27cea7b63,Zhangchen Xu ♦,"{'languages': ['heb', 'eng'], 'page_number': 1, 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
UncategorizedText,fecca2ad6869b06e86626e12fab49407,♠,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '26be920fa497a4638fc157b27cea7b63', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
UncategorizedText,4b7cc2bb0410b3c8e37ba374852b3fcf,♣,"{'languages': ['heb', 'eng'], 'page_number': 1, 'parent_id': '26be920fa497a4638fc157b27cea7b63', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf', 'filetype': 'application/pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf
