type,element_id,text,metadata,filename,page_number,text_as_html,language,filetype,partition_type
UncategorizedText,6b37173e9c5180e77bfe620773f2ef81,,"{'category_depth': 0, 'page_number': 1, 'text_as_html': '<div class=""Page"" data-page-number=""1"" id=""7d1da0c1e4e74ab29dc0352a70537212"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<div class=""Page"" data-page-number=""1"" id=""7d1da0c1e4e74ab29dc0352a70537212"" />",,application/pdf,
Title,f04ab8375d52fc9874f380be7a6e2fd1,ArtPrompt: ASCII Art-based Jailbreak Attacks against Aligned LLMs,"{'category_depth': 1, 'page_number': 1, 'parent_id': '7d1da0c1e4e74ab29dc0352a70537212', 'text_as_html': '<h1 class=""Title"" id=""b2f3acf3a4a0427da98fe18d172379d0"">ArtPrompt: ASCII Art-based Jailbreak Attacks against Aligned LLMs</h1>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<h1 class=""Title"" id=""b2f3acf3a4a0427da98fe18d172379d0"">ArtPrompt: ASCII Art-based Jailbreak Attacks against Aligned LLMs</h1>",,application/pdf,
NarrativeText,4820ee097d1de1dce5cd53b612fa2c3e,⚠ WARNING: This paper contains model outputs that may be considered offensive.,"{'category_depth': 1, 'page_number': 1, 'parent_id': '7d1da0c1e4e74ab29dc0352a70537212', 'text_as_html': '<p class=""NarrativeText"" id=""7d3efa9742344716adc1cb46852a94bf"">⚠ WARNING: This paper contains model outputs that may be considered offensive.</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<p class=""NarrativeText"" id=""7d3efa9742344716adc1cb46852a94bf"">⚠ WARNING: This paper contains model outputs that may be considered offensive.</p>",,application/pdf,
UncategorizedText,46a00f49ac4707e94aef48456d972513,,"{'category_depth': 1, 'page_number': 1, 'parent_id': '7d1da0c1e4e74ab29dc0352a70537212', 'text_as_html': '<section class=""Section"" id=""dbde263fa0474785a63d13d1805f9cb6"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<section class=""Section"" id=""dbde263fa0474785a63d13d1805f9cb6"" />",,application/pdf,
NarrativeText,b9749709852d13efd2aca7020ae3c607,"Fengqing Jiang*‡    Zhangchen Xu*‡    Luyao Niu*‡    Zhen Xiang◦ Bhaskar Ramasubramanian*   Bo Li*   Radha Poovendran* *University of Washington   ◦UIUC   *Western Washington University   *University of Chicago {fqjiang,zxu9,luyaoniu,rp3}@uw.edu, zhen.xiang.lance@gmail.com, ramasub@wwu.edu, bol@uchicago.edu","{'category_depth': 2, 'page_number': 1, 'parent_id': 'dbde263fa0474785a63d13d1805f9cb6', 'text_as_html': '<p class=""NarrativeText"" id=""8f1e0c539ff5483f8e1e8ffd46bab9a3"">Fengqing Jiang*‡    Zhangchen Xu*‡    Luyao Niu*‡    Zhen Xiang◦</p><p class=""NarrativeText"" id=""22408131351545869f20fdc367269a46"">Bhaskar Ramasubramanian*   Bo Li*   Radha Poovendran*</p><p class=""NarrativeText"" id=""088bd3a0d1fd4dd8bb52a45020bf5498"">*University of Washington   ◦UIUC   *Western Washington University   *University of Chicago</p><p class=""NarrativeText"" id=""cf42fbdb61794765954874225f5934ee"">{fqjiang,zxu9,luyaoniu,rp3}@uw.edu, zhen.xiang.lance@gmail.com,</p><p class=""NarrativeText"" id=""1666a56c195b45089996997b59ee4fdf"">ramasub@wwu.edu, bol@uchicago.edu</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<p class=""NarrativeText"" id=""8f1e0c539ff5483f8e1e8ffd46bab9a3"">Fengqing Jiang*‡    Zhangchen Xu*‡    Luyao Niu*‡    Zhen Xiang◦</p><p class=""NarrativeText"" id=""22408131351545869f20fdc367269a46"">Bhaskar Ramasubramanian*   Bo Li*   Radha Poovendran*</p><p class=""NarrativeText"" id=""088bd3a0d1fd4dd8bb52a45020bf5498"">*University of Washington   ◦UIUC   *Western Washington University   *University of Chicago</p><p class=""NarrativeText"" id=""cf42fbdb61794765954874225f5934ee"">{fqjiang,zxu9,luyaoniu,rp3}@uw.edu, zhen.xiang.lance@gmail.com,</p><p class=""NarrativeText"" id=""1666a56c195b45089996997b59ee4fdf"">ramasub@wwu.edu, bol@uchicago.edu</p>",,application/pdf,
NarrativeText,a154c14c398509b20d7009539bdf4d78,"Abstract Safety is critical to the usage of large language models (LLMs). Multiple techniques such as data filtering and supervised fine-tuning have been developed to strengthen LLM safety. However, currently known techniques presume that corpora used for safety alignment of LLMs are solely interpreted by semantics. This assumption, however, does not hold in real-world applications, which leads to severe vulnerabilities in LLMs. For example, users of forums often use ASCII art, a form of text-based art, to convey image information. In this paper, we propose a novel ASCII art-based jailbreak attack and introduce a comprehensive benchmark Vision-in-Text Challenge (ViTC) to evaluate the capabilities of LLMs in recognizing prompts that cannot be solely interpreted by semantics. We show that five SOTA LLMs (GPT-3.5, GPT-4, Gemini, Claude, and Llama2) struggle to recognize prompts provided in the form of ASCII art. Based on this observation, we develop the jailbreak attack ArtPrompt, which leverages the poor performance of LLMs in recognizing ASCII art to bypass safety measures and elicit undesired behaviors from LLMs. ArtPrompt only requires black-box access to the victim LLMs, making it a practical attack. We evaluate ArtPrompt on five SOTA LLMs, and show that ArtPrompt can effectively and efficiently induce undesired behaviors from all five LLMs.","{'category_depth': 1, 'page_number': 1, 'parent_id': '7d1da0c1e4e74ab29dc0352a70537212', 'text_as_html': '<section class=""Abstract"" id=""ed6d35cb07bd42fc89529d1569164cd4""><h2 class=""Subtitle"" id=""606b99fd9dec429baa6b745e974d1f52"">Abstract</h2><p class=""NarrativeText"" id=""6e9a319b357a400f8bee82121c4a4c64"">Safety is critical to the usage of large language models (LLMs). Multiple techniques such as data filtering and supervised fine-tuning have been developed to strengthen LLM safety. However, currently known techniques presume that corpora used for safety alignment of LLMs are solely interpreted by semantics. This assumption, however, does not hold in real-world applications, which leads to severe vulnerabilities in LLMs. For example, users of forums often use ASCII art, a form of text-based art, to convey image information. In this paper, we propose a novel ASCII art-based jailbreak attack and introduce a comprehensive benchmark Vision-in-Text Challenge (ViTC) to evaluate the capabilities of LLMs in recognizing prompts that cannot be solely interpreted by semantics. We show that five SOTA LLMs (GPT-3.5, GPT-4, Gemini, Claude, and Llama2) struggle to recognize prompts provided in the form of ASCII art. Based on this observation, we develop the jailbreak attack ArtPrompt, which leverages the poor performance of LLMs in recognizing ASCII art to bypass safety measures and elicit undesired behaviors from LLMs. ArtPrompt only requires black-box access to the victim LLMs, making it a practical attack. We evaluate ArtPrompt on five SOTA LLMs, and show that ArtPrompt can effectively and efficiently induce undesired behaviors from all five LLMs.</p></section>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<section class=""Abstract"" id=""ed6d35cb07bd42fc89529d1569164cd4""><h2 class=""Subtitle"" id=""606b99fd9dec429baa6b745e974d1f52"">Abstract</h2><p class=""NarrativeText"" id=""6e9a319b357a400f8bee82121c4a4c64"">Safety is critical to the usage of large language models (LLMs). Multiple techniques such as data filtering and supervised fine-tuning have been developed to strengthen LLM safety. However, currently known techniques presume that corpora used for safety alignment of LLMs are solely interpreted by semantics. This assumption, however, does not hold in real-world applications, which leads to severe vulnerabilities in LLMs. For example, users of forums often use ASCII art, a form of text-based art, to convey image information. In this paper, we propose a novel ASCII art-based jailbreak attack and introduce a comprehensive benchmark Vision-in-Text Challenge (ViTC) to evaluate the capabilities of LLMs in recognizing prompts that cannot be solely interpreted by semantics. We show that five SOTA LLMs (GPT-3.5, GPT-4, Gemini, Claude, and Llama2) struggle to recognize prompts provided in the form of ASCII art. Based on this observation, we develop the jailbreak attack ArtPrompt, which leverages the poor performance of LLMs in recognizing ASCII art to bypass safety measures and elicit undesired behaviors from LLMs. ArtPrompt only requires black-box access to the victim LLMs, making it a practical attack. We evaluate ArtPrompt on five SOTA LLMs, and show that ArtPrompt can effectively and efficiently induce undesired behaviors from all five LLMs.</p></section>",,application/pdf,
UncategorizedText,123bbc114a3d55a75fd5c1d219ac22f1,,"{'category_depth': 1, 'page_number': 1, 'parent_id': '7d1da0c1e4e74ab29dc0352a70537212', 'text_as_html': '<section class=""Section"" id=""0f79b6e505a9420f8e8fa02f6b6dca28"" />', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<section class=""Section"" id=""0f79b6e505a9420f8e8fa02f6b6dca28"" />",,application/pdf,
Title,44ddce8cc76667fe16f5297e8ad8e06e,1 Introduction,"{'category_depth': 2, 'page_number': 1, 'parent_id': '0f79b6e505a9420f8e8fa02f6b6dca28', 'text_as_html': '<h2 class=""Heading"" id=""42eeb9dad3714e58bd43ae7195c1eef5"">1 Introduction</h2>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<h2 class=""Heading"" id=""42eeb9dad3714e58bd43ae7195c1eef5"">1 Introduction</h2>",,application/pdf,
NarrativeText,56988cc3f606344fc340e449993e26bc,"Large language models (LLMs) such as ChatGPT (Achiam et al., 2023), Llama2 (Touvron et al., 2023), and Gemini (Team et al., 2023) are increasingly deployed to serve users across various application scenarios. Typical examples include math reasoning (Wei et al., 2022b), code completion (Zhang et al., 2023a), and creative writing (Yuan et al., 2022). The widespread use of LLMs highlights significant safety concerns (Weidinger et al.,","{'category_depth': 2, 'page_number': 1, 'parent_id': '0f79b6e505a9420f8e8fa02f6b6dca28', 'text_as_html': '<p class=""NarrativeText"" id=""73afee36e99249258c678683b2ddd5a0"">Large language models (LLMs) such as ChatGPT (Achiam et al., 2023), Llama2 (Touvron et al., 2023), and Gemini (Team et al., 2023) are increasingly deployed to serve users across various application scenarios. Typical examples include math reasoning (Wei et al., 2022b), code completion (Zhang et al., 2023a), and creative writing (Yuan et al., 2022). The widespread use of LLMs highlights significant safety concerns (Weidinger et al.,</p>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<p class=""NarrativeText"" id=""73afee36e99249258c678683b2ddd5a0"">Large language models (LLMs) such as ChatGPT (Achiam et al., 2023), Llama2 (Touvron et al., 2023), and Gemini (Team et al., 2023) are increasingly deployed to serve users across various application scenarios. Typical examples include math reasoning (Wei et al., 2022b), code completion (Zhang et al., 2023a), and creative writing (Yuan et al., 2022). The widespread use of LLMs highlights significant safety concerns (Weidinger et al.,</p>",,application/pdf,
Image,07a6045eeebb7f0d178b8e8c166a7970,"Diagram showing two instances of harmful instructions to an LLM, with ASCII art representation Figure 1: This figure presents two instances of a harmful instruction, ""how to build a bomb"", from a malicious user to an LLM. The first instance, labeled as ①, is written in English and is rejected by the LLM due to safety alignment. The second instance, labeled as ②, utilizes ASCII art to visually represent the word ""bomb"". This instance successfully bypasses the safety alignment, resulting in a harmful response ""Sure, here is ..."".","{'category_depth': 1, 'page_number': 1, 'parent_id': '7d1da0c1e4e74ab29dc0352a70537212', 'text_as_html': '<figure class=""Figure"" id=""52dae88fa3fa40be84b38d1503d6875c""><img class=""Image"" alt=""Diagram showing two instances of harmful instructions to an LLM, with ASCII art representation"" id=""d444941f48b14d44966289d017174679"" /><figcaption class=""Caption"" id=""e54760637efe45808c5cbd576b4ab596"">Figure 1: This figure presents two instances of a harmful instruction, ""how to build a bomb"", from a malicious user to an LLM. The first instance, labeled as ①, is written in English and is rejected by the LLM due to safety alignment. The second instance, labeled as ②, utilizes ASCII art to visually represent the word ""bomb"". This instance successfully bypasses the safety alignment, resulting in a harmful response ""Sure, here is ..."".</figcaption></figure>', 'languages': ['eng'], 'filetype': 'application/pdf', 'partitioner_type': 'vlm_partition', 'filename': 'ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf'}",ArtPrompt- ASCII Art-based Jailbreak Attacks against Aligned LLMs.pdf,1.0,"<figure class=""Figure"" id=""52dae88fa3fa40be84b38d1503d6875c""><img class=""Image"" alt=""Diagram showing two instances of harmful instructions to an LLM, with ASCII art representation"" id=""d444941f48b14d44966289d017174679"" /><figcaption class=""Caption"" id=""e54760637efe45808c5cbd576b4ab596"">Figure 1: This figure presents two instances of a harmful instruction, ""how to build a bomb"", from a malicious user to an LLM. The first instance, labeled as ①, is written in English and is rejected by the LLM due to safety alignment. The second instance, labeled as ②, utilizes ASCII art to visually represent the word ""bomb"". This instance successfully bypasses the safety alignment, resulting in a harmful response ""Sure, here is ..."".</figcaption></figure>",,application/pdf,
